Control_ID,TSC_Category,Control_Statement,Owner,Frequency,System_Tool,Evidence_Required,Evidence_Location,How_To_Generate,Status,Exceptions,Notes
CC6.4,Logical Access,Organization reviews and validates access,Security Lead,Quarterly,GitHub/AWS/IdP,Quarterly access review records,compliance-evidence/soc2/YYYY/QX/access-reviews/,Access list exports + certifications,NEEDS_IMPLEMENTATION,None,Implement quarterly reviews
CC6.5,Logical Access,Organization restricts physical access,N/A,N/A,Cloud-hosted,Cloud provider SOC 2 reports,compliance-evidence/soc2/YYYY/vendor-management/,AWS/GCP SOC 2 reports,INHERITED,None,Inherited from AWS GovCloud
CC6.6,Logical Access,Organization implements authentication controls,Security Lead,Ongoing,IdP/GitHub/AWS,MFA configuration evidence,compliance-evidence/soc2/YYYY/YYYY-MM/access-reviews/,MFA status reports,PARTIAL,None,MFA exists but not centralized
CC6.7,Logical Access,Organization restricts access based on role,Security Lead,Ongoing,GitHub/AWS/K8s,RBAC configurations,compliance-evidence/soc2/YYYY/YYYY-MM/access-reviews/,RBAC policy exports,PARTIAL,None,RBAC exists - document
CC6.8,Logical Access,Organization prevents malicious software,Engineering Lead,Ongoing,CI/CD/Endpoints,Malware protection evidence,compliance-evidence/soc2/YYYY/YYYY-MM/vuln-management/,Container scan reports,PARTIAL,None,Container scanning needed
CC7.1,System Operations,Organization detects vulnerabilities,Security Lead,Weekly,Dependabot/Trivy,Vulnerability scan reports,compliance-evidence/soc2/YYYY/YYYY-MM/vuln-management/,export_ci_reports.sh,NEEDS_IMPLEMENTATION,None,Enable Dependabot + container scanning
CC7.2,System Operations,Organization monitors system components,Engineering Lead,Ongoing,Prometheus/CloudWatch,Monitoring dashboards and logs,compliance-evidence/soc2/YYYY/YYYY-MM/logging-monitoring/,Dashboard screenshots + log samples,PARTIAL,None,Prometheus exists
CC7.3,System Operations,Organization evaluates security events,Security Lead,Ongoing,SIEM/Alerts,Alert investigation records,compliance-evidence/soc2/YYYY/YYYY-MM/incident-response/,Alert triage records,NEEDS_IMPLEMENTATION,None,Create alert triage process
CC7.4,System Operations,Organization responds to security incidents,Security Lead,As Needed,Jira/Runbook,Incident response records,compliance-evidence/soc2/YYYY/YYYY-MM/incident-response/,IR ticket exports,NEEDS_IMPLEMENTATION,None,IR runbook exists - implement
CC7.5,System Operations,Organization recovers from incidents,Security Lead,As Needed,DR Plan,Recovery test records,compliance-evidence/soc2/YYYY/backups-dr/,DR test results,NEEDS_IMPLEMENTATION,None,Create and test DR plan
CC8.1,Change Management,Organization manages changes,Engineering Lead,Ongoing,GitHub,PR records with reviews and approvals,compliance-evidence/soc2/YYYY/YYYY-MM/change-management/,export_github_security_baseline.sh,PARTIAL,None,PRs exist - add protections
CC9.1,Risk Mitigation,Organization identifies and manages vendor risks,Security Lead,Annual,Vendor List,Vendor assessment records,compliance-evidence/soc2/YYYY/vendor-management/,Vendor inventory + SOC 2 reports,NEEDS_IMPLEMENTATION,None,Create vendor inventory
CC9.2,Risk Mitigation,Organization implements business continuity,Engineering Lead,Annual,BC/DR Plan,BC/DR plan and test results,compliance-evidence/soc2/YYYY/backups-dr/,BC/DR test reports,NEEDS_IMPLEMENTATION,None,Create BC/DR plan
# AVAILABILITY CONTROLS - OUT OF SCOPE (Model B only - Security TSC only)
# Uncomment when expanding to Model C managed services
#A1.1,Availability,Organization maintains system availability,Engineering Lead,Ongoing,Monitoring,Uptime reports and capacity metrics,compliance-evidence/soc2/YYYY/YYYY-MM/logging-monitoring/,Uptime dashboard exports,OUT_OF_SCOPE,None,Add for Model C
#A1.2,Availability,Organization protects against environmental threats,N/A,N/A,Cloud-hosted,Cloud provider controls,compliance-evidence/soc2/YYYY/vendor-management/,AWS SOC 2 report,OUT_OF_SCOPE,None,Add for Model C
#A1.3,Availability,Organization implements recovery procedures,Engineering Lead,Annual,Backup/DR,Backup and recovery test records,compliance-evidence/soc2/YYYY/backups-dr/,Backup completion + restore tests,OUT_OF_SCOPE,None,Add for Model C
