V-Number,Finding Title,Severity,Status,NIST Control Cross-Ref,Aegis Implementation Summary,Evidence File/Path,Gap Description
V-242393,Worker Nodes must not have sshd service running,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure; Aegis images do not include sshd,services/platform-api/Dockerfile,Customer must disable sshd on workers
V-242394,Worker Nodes must not have sshd service enabled,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must disable sshd on workers
V-242395,Kubernetes dashboard must not be enabled,CAT II,Customer Responsibility,AC-3,Aegis does not deploy dashboard; provides Backstage UI instead,charts/aegis-services/,Customer must verify no dashboard installed
V-242396,kubectl cp command must give expected access and results,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure; Aegis does not use kubectl cp,N/A,Customer must verify kubectl version >= 1.12.9
V-242397,Kubelet staticPodPath must not enable static pods,CAT I,Customer Responsibility,CM-6b,Cluster infrastructure; Aegis uses standard Deployments not static pods,charts/aegis-services/templates/platform-api-deployment.yaml,Customer must configure kubelet
V-242398,DynamicAuditing must not be enabled,CAT II,Customer Responsibility,AU-12,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Removed in modern K8s versions
V-242399,DynamicKubeletConfig must not be enabled,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Removed in K8s 1.24+
V-242400,API Server must have Alpha APIs disabled,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure; Aegis requires no alpha APIs,charts/aegis-services/,Customer must verify AllAlpha=false
V-242401,API Server must have an audit policy set,CAT II,Customer Responsibility,"AU-14(1), AU-2",Cluster infrastructure; Aegis provides app-level audit logging independently,services/platform-api/internal/store/postgres/audit_events.go:35-46,Customer must configure K8s audit policy
V-242402,API Server must have an audit log path set,CAT II,Customer Responsibility,AU-14(1),Cluster infrastructure; Aegis logs to stdout for Fluent Bit collection,charts/aegis-services/values/common.yaml:68,Customer must configure K8s audit log path
V-242403,API Server must generate comprehensive audit records,CAT II,Customer Responsibility,AU-3,Cluster infrastructure; Aegis app audit includes all AU-3 fields,services/platform-api/internal/store/postgres/audit_events.go:35-46,Customer must set audit policy to Metadata level
V-242404,Kubelet must deny hostname override,CAT II,Customer Responsibility,CM-5(6),Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must configure kubelet
V-242405,Kubernetes manifests must be owned by root,CAT II,Customer Responsibility,CM-5(6),Node-level file ownership,docs/shared-responsibility-matrix.md,Customer/EKS manages control plane files
V-242406,Kubelet configuration file must be owned by root,CAT II,Customer Responsibility,CM-5(6),Node-level file ownership,docs/shared-responsibility-matrix.md,Customer manages worker node config
V-242407,Kubelet configuration file permissions set to 644,CAT II,Customer Responsibility,CM-5(6),Node-level file permissions,docs/shared-responsibility-matrix.md,Customer manages worker node config
V-242408,Kubernetes manifests must have least privileges,CAT II,Customer Responsibility,CM-5(6),Node-level file permissions,docs/shared-responsibility-matrix.md,EKS manages control plane manifests
V-242409,Controller Manager must disable profiling,CAT II,Customer Responsibility,CM-7a,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must set --profiling=false
V-242410,API Server must enforce PPS per PPSM CAL,CAT II,Customer Responsibility,CM-7b,Cluster infrastructure; Aegis enforces default-deny NetworkPolicies,charts/aegis-services/templates/networkpolicy-egress-default-deny.yaml,Customer must verify API Server ports against PPSM CAL
V-242411,Scheduler must enforce PPS per PPSM CAL,CAT II,Customer Responsibility,CM-7b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages scheduler ports
V-242412,Controllers must enforce PPS per PPSM CAL,CAT II,Customer Responsibility,CM-7b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages controller ports
V-242413,etcd must enforce PPS per PPSM CAL,CAT II,Customer Responsibility,CM-7b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242414,Cluster must use non-privileged host ports for user pods,CAT II,Satisfied,CM-7b,All Aegis pods use ports >1024 (8080/8081/8443/7007); no host port bindings,charts/aegis-services/values/common.yaml:44-50,None
V-242415,Secrets must not be stored as environment variables,CAT I,Partially Satisfied,IA-5(1)(c),18 secretKeyRef usages in env vars across Helm templates,"charts/aegis-services/templates/platform-api-deployment.yaml:118,135,152",CAT I gap: Migrate secrets to volume mounts or external secret stores
V-242416,Kubelet must not disable timeouts,CAT II,Customer Responsibility,SC-10,Cluster infrastructure; Aegis implements app-level session timeouts,services/proxy/internal/server/server.go:116-143,Customer must configure kubelet timeout
V-242417,Kubernetes must separate user functionality,CAT II,Satisfied,SC-2,All Aegis components in dedicated namespaces; project namespaces per tenant,charts/aegis-services/templates/platform-api-deployment.yaml,None
V-242418,API Server must use approved cipher suites,CAT II,Customer Responsibility,SC-8,Cluster infrastructure; Aegis app uses FIPS-approved cipher suites,services/platform-api/internal/server/server.go:2935-2944,Customer must configure API Server cipher suites
V-242419,API Server must have SSL Certificate Authority set,CAT II,Customer Responsibility,SC-8,Cluster infrastructure; Aegis gRPC supports mTLS client CA,services/platform-api/internal/server/server.go:2948-2953,EKS configures API Server CA
V-242420,Kubelet must have SSL Certificate Authority set,CAT II,Customer Responsibility,SC-8,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages kubelet certificates
V-242421,Controller Manager must have SSL Certificate Authority set,CAT II,Customer Responsibility,SC-8,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages CM certificates
V-242422,API Server must have a certificate for communication,CAT II,Customer Responsibility,SC-8,Cluster infrastructure; Aegis uses own TLS cert/key pairs,services/platform-api/internal/server/server.go:2927-2929,EKS configures API Server certificates
V-242423,etcd must enable client authentication,CAT II,Customer Responsibility,SC-8,Cluster infrastructure; Aegis does not interact with etcd,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242424,Kubelet must enable tls-private-key-file,CAT II,Customer Responsibility,SC-8,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages kubelet TLS
V-242425,Kubelet must enable tls-cert-file,CAT II,Customer Responsibility,SC-8,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages kubelet TLS
V-242426,etcd must enable peer client cert authentication,CAT II,Customer Responsibility,SC-8,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242427,etcd must have a key file for secure communication,CAT II,Customer Responsibility,SC-23,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242428,etcd must have a certificate for communication,CAT II,Customer Responsibility,SC-23,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242429,etcd must have SSL Certificate Authority set,CAT II,Customer Responsibility,SC-23,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd connectivity
V-242430,etcd must have a certificate for API Server communication,CAT II,Customer Responsibility,SC-23,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd connectivity
V-242431,etcd must have a key file for API Server communication,CAT II,Customer Responsibility,SC-23,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd connectivity
V-242432,etcd must have peer-cert-file set,CAT II,Customer Responsibility,SC-23,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242433,etcd must have peer-key-file set,CAT II,Customer Responsibility,SC-23,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242434,Kubelet must enable kernel protection,CAT I,Customer Responsibility,SC-3,Cluster infrastructure; Aegis pods use seccompProfile: RuntimeDefault,charts/aegis-services/values/common.yaml:129,Customer must set --protect-kernel-defaults=true
V-242435,Kubernetes must prevent non-privileged users from executing privileged functions,CAT I,Customer Responsibility,AC-6(10),Cluster infrastructure; Aegis app RBAC is fail-closed,services/platform-api/internal/authz/policy.go:49-53,Customer must ensure --authorization-mode != AlwaysAllow
V-242436,API Server must have ValidatingAdmissionWebhook enabled,CAT II,Customer Responsibility,CM-7a,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS enables by default
V-242437,Kubernetes must have a pod security policy set,CAT I,Partially Satisfied,AC-6,"Aegis pods: runAsNonRoot, drop ALL caps, readOnlyRootFilesystem, seccomp; PSP/PSS is cluster-level","charts/aegis-services/values/common.yaml:120-130,262-272",Workload-level satisfied; customer must enable Pod Security Admission
V-242438,API Server must configure timeouts,CAT II,Customer Responsibility,SC-5,Cluster infrastructure; Aegis implements own session timeouts,services/proxy/internal/server/server.go:116-143,Customer must set --request-timeout > 0
V-242439,API Server must disable basic authentication,CAT I,Customer Responsibility,SC-8,Cluster infrastructure; Aegis uses OIDC/JWT exclusively,services/platform-api/internal/server/mw/auth.go:185-264,Customer must remove --basic-auth-file
V-242440,API Server must disable token authentication,CAT II,Customer Responsibility,SC-8,Cluster infrastructure; Aegis uses Keycloak OIDC tokens,services/platform-api/internal/server/mw/auth.go,Customer must remove --token-auth-file
V-242441,Endpoints must use approved certificate and key pair,CAT II,Customer Responsibility,SC-8,Cluster infrastructure; Aegis mTLS uses proper certificates,services/platform-api/internal/server/server.go:2948-2953,EKS configures kubelet client certificates
V-242442,Must remove old components after updates,CAT II,Satisfied,SI-2(6),SHA-pinned images; revisionHistoryLimit: 3 on all Deployments; rolling updates,"charts/aegis-services/templates/platform-api-deployment.yaml:11,proxy-deployment.yaml:11,backstage/deployment.yaml:53",Customer manages upgrade cadence; Aegis enforces stale ReplicaSet cleanup
V-242443,Must contain latest updates per IAVMs/STIGs,CAT II,Partially Satisfied,SI-2,Updated container images; SBOM generation; Go dep checksums,docs/compliance/sbom/generate-sbom.sh,Customer maintains K8s version currency
V-242444,Component manifests must be owned by root,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,EKS manages control plane
V-242445,etcd data must be owned by etcd,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242446,Kubernetes conf files must be owned by root,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,EKS manages control plane config
V-242447,Kube Proxy must have file permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,Customer manages kube-proxy config
V-242448,Kube Proxy must be owned by root,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,Customer manages kube-proxy config
V-242449,Kubelet certificate authority file must have permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,EKS manages kubelet CA
V-242450,Kubelet certificate authority must be owned by root,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,EKS manages kubelet CA
V-242451,Component PKI must be owned by root,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,EKS manages PKI
V-242452,Kubelet config must have file permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,Customer manages kubelet config
V-242453,Kubelet config must be owned by root,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,Customer manages kubelet config
V-242454,kubeadm must be owned by root,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,N/A on EKS (no kubeadm)
V-242455,kubeadm.conf must have file permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,N/A on EKS (no kubeadm)
V-242456,kubelet config.yaml must have file permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,Customer manages kubelet config
V-242457,kubelet config.yaml must be owned by root,CAT II,Customer Responsibility,CM-6b,Node-level file ownership,docs/shared-responsibility-matrix.md,Customer manages kubelet config
V-242458,API Server manifests must have file permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,EKS manages control plane manifests
V-242459,etcd must have file permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242460,admin.conf must have file permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,EKS manages control plane config
V-242461,API Server audit logs must be enabled,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure; Aegis provides app-level audit independently,charts/aegis-services/values/common.yaml:52-75,Customer must configure K8s audit
V-242462,API Server audit log max size must be set,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must set --audit-log-maxsize >= 100
V-242463,API Server audit log maximum backup must be set,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must set --audit-log-maxbackup >= 10
V-242464,API Server audit log retention must be set,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure; Aegis app retention is 90+ days,charts/aegis-services/values/common.yaml:73,Customer must set --audit-log-maxage >= 30
V-242465,API Server audit log path must be set,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must configure audit log path
V-242466,PKI CRT files must have permissions 644,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,EKS manages PKI
V-242467,PKI key files must have permissions 600,CAT II,Customer Responsibility,CM-6b,Node-level file permissions,docs/shared-responsibility-matrix.md,EKS manages PKI
V-242468,API Server must prohibit TLS 1.0/1.1 and SSL 2.0/3.0,CAT II,Customer Responsibility,AC-17(2),Cluster infrastructure; Aegis app enforces TLS 1.2+,services/platform-api/internal/server/server.go:2930,Customer must set --tls-min-version=VersionTLS12
