NIST_800_53_Control,Control_Title,FedRAMP_Low_Required,SOC2_TSC_Mapping,ISO27001_Mapping,Aegis_Status,Reuse_Potential,Gap_Notes
RA-3,Risk Assessment,Yes,CC3.2,Clause 8.2,Implemented,High,Risk register with 17 risks
RA-5,Vulnerability Monitoring,Yes,CC7.1,A.8.8,Implemented,High,Dependabot + scanning
RA-7,Risk Response,Yes,CC3.2,Clause 8.3,Implemented,High,Risk treatment plan
SA-1,System and Services Acquisition Policy,Yes,CC8.1,A.5.1,Partial,Medium,Need formal SA policy
SA-2,Allocation of Resources,Conditional,CC5.2,Clause 7.1,Partial,Medium,Resource planning
SA-3,System Development Lifecycle,Yes,CC8.1,A.8.25,Implemented,High,SDLC documented
SA-4,Acquisition Process,Conditional,CC8.1,A.5.19,Partial,Medium,Vendor assessment exists
SA-5,System Documentation,Yes,CC8.1,A.8.9,Implemented,High,Architecture docs
SA-8,Security and Privacy Engineering,Yes,CC8.1,A.8.27,Implemented,High,Security by design
SA-9,External System Services,Yes,"CC6.6,CC9.2",A.5.21,Partial,Medium,Third-party inventory
SA-10,Developer Configuration Management,Yes,CC8.1,A.8.32,Implemented,High,GitOps workflow
SA-11,Developer Testing,Yes,CC8.1,A.8.29,Implemented,High,CI/CD testing
SA-22,Unsupported System Components,Conditional,CC8.1,A.8.9,Partial,Medium,Need EOL tracking
SC-1,System and Comms Protection Policy,Yes,CC6.1,A.5.1,Partial,Medium,Need SC policy
SC-5,Denial of Service Protection,Conditional,A1.2,A.8.6,Partial,Medium,Cloud DDoS protection
SC-7,Boundary Protection,Yes,CC6.1,A.8.21,Implemented,High,Network segmentation
SC-8,Transmission Confidentiality,Yes,CC6.1,A.8.24,Implemented,High,TLS everywhere
SC-12,Cryptographic Key Management,Yes,CC6.1,A.8.24,Partial,Medium,Need key mgmt docs
SC-13,Cryptographic Protection,Yes,CC6.1,A.8.24,Not Implemented,Low,FIPS 140 gap
SC-15,Collaborative Computing,Conditional,CC6.1,A.8.22,N/A,N/A,No collaborative computing
SC-20,Secure Name Resolution,Conditional,CC6.1,A.8.22,Implemented,High,DNS security
SC-21,Secure Name Resolution (Recursive),Conditional,CC6.1,A.8.22,Implemented,High,Cloud DNS
SC-22,Architecture and Provisioning,Conditional,CC6.1,A.8.22,Implemented,High,IaC provisioning
SC-39,Process Isolation,Yes,CC6.1,A.8.22,Implemented,High,Container isolation
SI-1,System and Info Integrity Policy,Yes,CC7.1,A.5.1,Partial,Medium,Need SI policy
SI-2,Flaw Remediation,Yes,CC7.1,A.8.8,Implemented,High,Vuln remediation process
SI-3,Malicious Code Protection,Conditional,CC7.1,A.8.7,Partial,Medium,Cloud workloads
SI-4,System Monitoring,Yes,CC7.2,A.8.16,Implemented,High,Monitoring in place
SI-5,Security Alerts and Advisories,Yes,CC7.1,A.5.7,Implemented,High,Dependabot alerts
SI-10,Information Input Validation,Conditional,CC8.1,A.8.28,Implemented,High,Input validation
SI-11,Error Handling,Conditional,CC8.1,A.8.28,Implemented,High,Secure error handling
SI-12,Information Management,Yes,CC6.1,A.5.10,Partial,Medium,Data handling docs
SI-16,Memory Protection,Conditional,CC7.1,A.8.6,Implemented,High,Container hardening
SR-1,Supply Chain Risk Management Policy,Yes,CC9.2,A.5.19,Not Implemented,Low,SCRMP needed
SR-2,Supply Chain Risk Management Plan,Yes,CC9.2,A.5.21,Not Implemented,Low,SCRMP needed
SR-3,Supply Chain Controls,Yes,CC9.2,A.5.22,Partial,Medium,Vendor policy exists
SR-5,Acquisition Strategies,Conditional,CC9.2,A.5.19,Partial,Medium,Need formal strategy
SR-6,Supplier Assessments,Conditional,CC9.2,A.5.22,Partial,Medium,Vendor assessment template
SR-8,Notification Agreements,Conditional,CC9.2,A.5.21,Partial,Medium,Contract terms
SR-10,Inspection of Systems,Conditional,CC9.2,A.5.22,N/A,N/A,Cloud - limited
SR-11,Component Authenticity,Conditional,CC9.2,A.8.27,Partial,Medium,SBOM exists
SR-12,Component Disposal,Conditional,CC9.2,A.7.10,N/A,N/A,Cloud - IaaS inherited
