SOC2_Control,SOC2_Description,ISO_Control,ISO_Title,Evidence_Reuse,Evidence_Location,Notes
CC8.1,Change management,A.8.32,Change management,Yes - PR records,GitHub + evidence-vault/soc2/YYYY/MM/change-management/,725 commits; 58 PRs
CC9.1,Vendor risk management,A.5.19-23,Supplier relationship controls,Yes - vendor assessments,evidence-vault/soc2/YYYY/vendor-management/,Direct mapping
CC9.2,Business continuity,A.5.29-30,Continuity controls,Yes - BC/DR plans,evidence-vault/soc2/YYYY/backups-dr/,Direct mapping
N/A,No SOC 2 equivalent,Clause 9.2,Internal audit,No - ISO specific,iso27001/internal-audits/,CRITICAL: Not conducted
N/A,No SOC 2 equivalent,Clause 9.3,Management review,No - ISO specific,iso27001/management-reviews/,CRITICAL: Not conducted
N/A,No SOC 2 equivalent,Clause 10.1,Nonconformity and corrective action,Partial - formal process,iso27001/09-corrective-actions-log.csv,CRITICAL: No entries
N/A,No SOC 2 equivalent,A.5.10,Acceptable use,No - ISO specific,iso27001/policies/acceptable-use-policy.md,Created
N/A,No SOC 2 equivalent,A.6.1,Screening,No - ISO specific,Process documented,For future hires
N/A,No SOC 2 equivalent,A.6.2,Terms and conditions of employment,No - ISO specific,Template needed,For future hires
N/A,No SOC 2 equivalent,A.6.4,Disciplinary process,No - ISO specific,Handbook needed,For future hires
N/A,No SOC 2 equivalent,A.8.10,Information deletion,No - ISO specific,Procedure needed,Data retention
